Date,Price
1/11/22,165.362
1/12/22,165.207001
1/13/22,161.214005
1/14/22,162.138
1/18/22,158.917496
1/19/22,156.298996
1/20/22,151.667496
1/21/22,142.643005
1/24/22,144.544006
1/25/22,139.985992
1/26/22,138.872498
1/27/22,139.637497
1/28/22,143.977997
1/31/22,149.573502
2/1/22,151.193497
2/2/22,150.612503
2/3/22,138.845505
2/4/22,157.639496
2/7/22,157.935501
2/8/22,161.413498
2/9/22,161.189499
2/10/22,159.003494
2/11/22,153.293503
2/14/22,155.167007
2/15/22,156.510498
2/16/22,158.100494
2/17/22,154.652496
2/18/22,152.601501
2/22/22,150.197495
2/23/22,144.826996
2/24/22,151.358002
2/25/22,153.788498
2/28/22,153.563004
3/1/22,151.141998
3/2/22,152.052505
3/3/22,147.898499
3/4/22,145.641006
3/7/22,137.453003
3/8/22,136.014496
3/9/22,139.279007
3/10/22,146.817505
3/11/22,145.524506
3/14/22,141.852997
3/15/22,147.366501
3/16/22,153.104004
3/17/22,157.238998
3/18/22,161.250504
3/21/22,161.491501
3/22/22,164.889008
3/23/22,163.408005
3/24/22,163.649506
3/25/22,164.773499
3/28/22,168.990494
3/29/22,169.315002
3/30/22,166.300995
3/31/22,162.997498
4/1/22,163.559998
4/4/22,168.346497
4/5/22,164.054993
4/6/22,158.755997
4/7/22,157.7845
4/8/22,154.460495
4/11/22,151.121994
4/12/22,150.787506
4/13/22,155.541
4/14/22,151.706497
4/18/22,152.785004
4/19/22,158.115494
4/20/22,153.998001
4/21/22,148.296005
4/22/22,144.350006
4/25/22,146.074005
4/26/22,139.391006
4/27/22,138.167007
4/28/22,144.596497
4/29/22,124.281502
5/2/22,124.5
5/3/22,124.253502
5/4/22,125.928497
5/5/22,116.406998
5/6/22,114.772499
5/9/22,108.789001
5/10/22,108.859001
5/11/22,105.372002
5/12/22,106.930496
5/13/22,113.055
5/16/22,110.810501
5/17/22,115.3685
5/18/22,107.112503
5/19/22,107.319
5/20/22,107.591003
5/23/22,107.556999
5/24/22,104.099998
5/25/22,106.775002
5/26/22,111.077499
5/27/22,115.1465
5/31/22,120.209503
6/1/22,121.683998
6/2/22,125.511002
6/3/22,122.349998
6/6/22,124.790001
6/7/22,123
6/8/22,121.18
6/9/22,116.150002
6/10/22,109.650002
6/13/22,103.669998
6/14/22,102.309998
6/15/22,107.669998
6/16/22,103.660004
6/17/22,106.220001
6/21/22,108.68
6/22/22,108.949997
6/23/22,112.440002
6/24/22,116.459999
6/27/22,113.220001
6/28/22,107.400002
6/29/22,108.919998
6/30/22,106.209999
7/1/22,109.559998
7/5/22,113.5
7/6/22,114.330002
7/7/22,116.330002
7/8/22,115.540001
7/11/22,111.75
7/12/22,109.220001
7/13/22,110.400002
7/14/22,110.629997
7/15/22,113.550003
7/18/22,113.760002
7/19/22,118.209999
7/20/22,122.769997
7/21/22,124.629997
7/22/22,122.419998
7/25/22,121.139999
7/26/22,114.809998
7/27/22,120.970001
7/28/22,122.279999
7/29/22,134.949997
8/1/22,135.389999
8/2/22,134.160004
8/3/22,139.520004
8/4/22,142.570007
8/5/22,140.800003
8/8/22,139.410004
8/9/22,137.830002
8/10/22,142.690002
8/11/22,140.639999
8/12/22,143.550003
8/15/22,143.179993
8/16/22,144.779999
8/17/22,142.100006
8/18/22,142.300003
8/19/22,138.229996
8/22/22,133.220001
8/23/22,133.619995
8/24/22,133.800003
8/25/22,137.279999
8/26/22,130.75
8/29/22,129.789993
8/30/22,128.729996
8/31/22,126.769997
9/1/22,127.82
9/2/22,127.510002
9/6/22,126.110001
9/7/22,129.479996
9/8/22,129.820007
9/9/22,133.270004
9/12/22,136.449997
9/13/22,126.82
9/14/22,128.550003
9/15/22,126.279999
9/16/22,123.529999
9/19/22,124.660004
9/20/22,122.190002
9/21/22,118.540001
9/22/22,117.309998
9/23/22,113.779999
9/26/22,115.150002
9/27/22,114.410004
9/28/22,118.010002
9/29/22,114.800003
9/30/22,113
10/3/22,115.879997
10/4/22,121.089996
10/5/22,120.949997
10/6/22,120.300003
10/7/22,114.559998
10/10/22,113.669998
10/11/22,112.209999
10/12/22,112.900002
10/13/22,112.529999
10/14/22,106.900002
10/17/22,113.790001
10/18/22,116.360001
10/19/22,115.07
10/20/22,115.25
10/21/22,119.32
10/24/22,119.82
10/25/22,120.599998
10/26/22,115.660004
10/27/22,110.959999
10/28/22,103.410004
10/31/22,102.440002
11/1/22,96.790001
11/2/22,92.120003
11/3/22,89.300003
11/4/22,90.980003
11/7/22,90.529999
11/8/22,89.980003
11/9/22,86.139999
11/10/22,96.629997
11/11/22,100.790001
11/14/22,98.489998
11/15/22,98.940002
11/16/22,97.120003
11/17/22,94.849998
11/18/22,94.139999
11/21/22,92.459999
11/22/22,93.199997
11/23/22,94.129997
11/25/22,93.410004
11/28/22,93.949997
11/29/22,92.419998
11/30/22,96.540001
12/1/22,95.5
12/2/22,94.129997
12/5/22,91.010002
12/6/22,88.25
12/7/22,88.459999
12/8/22,90.349998
12/9/22,89.089996
12/12/22,90.550003
12/13/22,92.489998
12/14/22,91.580002
12/15/22,88.449997
12/16/22,87.860001
12/19/22,84.919998
12/20/22,85.190002
12/21/22,86.769997
12/22/22,83.790001
12/23/22,85.25
12/27/22,83.040001
12/28/22,81.82
12/29/22,84.18
12/30/22,84
1/3/23,85.82
1/4/23,85.139999
1/5/23,83.120003
1/6/23,86.080002
1/9/23,87.360001
1/10/23,89.870003
